"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Performances and attendance, not-for-profit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Nova Scotia","2016A000212","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579212","4.1.2","251490","","","","0"
"2020","Nova Scotia","2016A000212","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579213","4.1.3","447","","","","0"
"2020","New Brunswick","2016A000213","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579214","5.1.1","272","","","","0"
"2020","New Brunswick","2016A000213","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579215","5.1.2","","x","","","0"
"2020","New Brunswick","2016A000213","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579216","5.1.3","","x","","","0"
"2020","Quebec","2016A000224","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579217","6.1.1","6768","","","","0"
"2020","Quebec","2016A000224","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579218","6.1.2","1927734","","","","0"
"2020","Quebec","2016A000224","Performing arts companies [7111]","Average attendance per performance","Number","223","units","0","v107579219","6.1.3","285","","","","0"
"2020","Ontario","2016A000235","Performing arts companies [7111]","Total performances","Number","223","units","0","v107579220","7.1.1","5382","","","","0"
"2020","Ontario","2016A000235","Performing arts companies [7111]","Total attendance","Number","223","units","0","v107579221","7.1.2","1539238","","","","0"
